2023_RGB_8cm_W08B_4: left=-2000.0, bottom=-3781000.0, right=-1000.0, top=-3780000.0
2023_RGB_8cm_W08B_6: left=-5000.0, bottom=-3782000.0, right=-4000.0, top=-3781000.0
2023_RGB_8cm_W08B_7: left=-4000.0, bottom=-3782000.0, right=-3000.0, top=-3781000.0
2023_RGB_8cm_W08B_8: left=-3000.0, bottom=-3782000.0, right=-2000.0, top=-3781000.0
2023_RGB_8cm_W08B_9: left=-2000.0, bottom=-3782000.0, right=-1000.0, top=-3781000.0
2023_RGB_8cm_W08B_11: left=-5000.0, bottom=-3783000.0, right=-4000.0, top=-3782000.0
2023_RGB_8cm_W08B_12: left=-4000.0, bottom=-3783000.0, right=-3000.0, top=-3782000.0
2023_RGB_8cm_W08B_13: left=-3000.0, bottom=-3783000.0, right=-2000.0, top=-3782000.0
2023_RGB_8cm_W08B_16: left=-5000.0, bottom=-3784000.0, right=-4000.0, top=-3783000.0
2023_RGB_8cm_W08B_17: left=-4000.0, bottom=-3784000.0, right=-3000.0, top=-3783000.0
2023_RGB_8cm_W08B_21: left=-5000.0, bottom=-3785000.0, right=-4000.0, top=-3784000.0
2023_RGB_8cm_W08C_1: left=-10000.0, bottom=-3786000.0, right=-9000.0, top=-3785000.0
2023_RGB_8cm_W08C_2: left=-9000.0, bottom=-3786000.0, right=-8000.0, top=-3785000.0
2023_RGB_8cm_W08C_3: left=-8000.0, bottom=-3786000.0, right=-7000.0, top=-3785000.0
2023_RGB_8cm_W08C_4: left=-7000.0, bottom=-3786000.0, right=-6000.0, top=-3785000.0
2023_RGB_8cm_W08C_5: left=-6000.0, bottom=-3786000.0, right=-5000.0, top=-3785000.0
2023_RGB_8cm_W08C_6: left=-10000.0, bottom=-3787000.0, right=-9000.0, top=-3786000.0
2023_RGB_8cm_W08C_7: left=-9000.0, bottom=-3787000.0, right=-8000.0, top=-3786000.0
2023_RGB_8cm_W08C_8: left=-8000.0, bottom=-3787000.0, right=-7000.0, top=-3786000.0
2023_RGB_8cm_W08C_9: left=-7000.0, bottom=-3787000.0, right=-6000.0, top=-3786000.0
2023_RGB_8cm_W08C_11: left=-10000.0, bottom=-3788000.0, right=-9000.0, top=-3787000.0
2023_RGB_8cm_W08C_12: left=-9000.0, bottom=-3788000.0, right=-8000.0, top=-3787000.0
2023_RGB_8cm_W08C_13: left=-8000.0, bottom=-3788000.0, right=-7000.0, top=-3787000.0
2023_RGB_8cm_W08C_16: left=-10000.0, bottom=-3789000.0, right=-9000.0, top=-3788000.0
2023_RGB_8cm_W08C_21: left=-10000.0, bottom=-3790000.0, right=-9000.0, top=-3789000.0
2023_RGB_8cm_W12A_16: left=-20000.0, bottom=-3724000.0, right=-19000.0, top=-3723000.0
2023_RGB_8cm_W12A_17: left=-19000.0, bottom=-3724000.0, right=-18000.0, top=-3723000.0
2023_RGB_8cm_W12A_18: left=-18000.0, bottom=-3724000.0, right=-17000.0, top=-3723000.0
2023_RGB_8cm_W12A_19: left=-17000.0, bottom=-3724000.0, right=-16000.0, top=-3723000.0
2023_RGB_8cm_W12A_21: left=-20000.0, bottom=-3725000.0, right=-19000.0, top=-3724000.0
2023_RGB_8cm_W12A_22: left=-19000.0, bottom=-3725000.0, right=-18000.0, top=-3724000.0
2023_RGB_8cm_W12A_23: left=-18000.0, bottom=-3725000.0, right=-17000.0, top=-3724000.0
2023_RGB_8cm_W12A_24: left=-17000.0, bottom=-3725000.0, right=-16000.0, top=-3724000.0
2023_RGB_8cm_W12C_1: left=-20000.0, bottom=-3726000.0, right=-19000.0, top=-3725000.0
2023_RGB_8cm_W12C_2: left=-19000.0, bottom=-3726000.0, right=-18000.0, top=-3725000.0
2023_RGB_8cm_W12C_3: left=-18000.0, bottom=-3726000.0, right=-17000.0, top=-3725000.0
2023_RGB_8cm_W12C_4: left=-17000.0, bottom=-3726000.0, right=-16000.0, top=-3725000.0
2023_RGB_8cm_W12C_6: left=-20000.0, bottom=-3727000.0, right=-19000.0, top=-3726000.0
2023_RGB_8cm_W12C_7: left=-19000.0, bottom=-3727000.0, right=-18000.0, top=-3726000.0
2023_RGB_8cm_W12C_8: left=-18000.0, bottom=-3727000.0, right=-17000.0, top=-3726000.0
2023_RGB_8cm_W12C_11: left=-20000.0, bottom=-3728000.0, right=-19000.0, top=-3727000.0
2023_RGB_8cm_W12C_12: left=-19000.0, bottom=-3728000.0, right=-18000.0, top=-3727000.0
2023_RGB_8cm_W12C_13: left=-18000.0, bottom=-3728000.0, right=-17000.0, top=-3727000.0
2023_RGB_8cm_W12C_16: left=-20000.0, bottom=-3729000.0, right=-19000.0, top=-3728000.0
2023_RGB_8cm_W12C_17: left=-19000.0, bottom=-3729000.0, right=-18000.0, top=-3728000.0
2023_RGB_8cm_W12C_21: left=-20000.0, bottom=-3730000.0, right=-19000.0, top=-3729000.0
2023_RGB_8cm_W12C_22: left=-19000.0, bottom=-3730000.0, right=-18000.0, top=-3729000.0
